participant_id	psi_id	ses	MAQ_FORMAL	MAQ_INFORMAL	MAQ_BENEFIT	imputation_threshold
sub-PC201	PSI-1010	followup-3month	24	33	57	0.5
sub-PC202	PSI-0304	followup-3month	0	22	22	0.5
sub-PC203	PSI-0244	followup-3month	17	23	40	0.5
sub-PC204	PSI-0198	followup-3month	18	27	45	0.5
sub-PC207	PSI-0819	followup-3month	19	29	48	0.5
sub-PC208	PSI-0264	followup-3month	15	21	36	0.5
sub-PC209	PSI-0565	followup-3month	24	27	51	0.5
sub-PC210	PSI-1309	followup-3month	12	17	29	0.5
sub-PC211	PSI-1342	followup-3month	13	22	35	0.5
sub-PC212	PSI-0990	followup-3month	19	25	44	0.5
sub-PC213	PSI-0347	followup-3month	0	11	11	0.5
sub-PC214	PSI-1433	followup-3month	18	19	37	0.5
sub-PC215	PSI-1085	followup-3month	19	24	43	0.5
sub-PC216	PSI-1317	followup-3month	9	11	20	0.5
sub-PC217	PSI-1702	followup-3month	22	33	55	0.5
sub-PC219	PSI-2021	followup-3month	19	26	45	0.5
sub-PC221	PSI-0077	followup-3month	0	28	28	0.5
sub-PC222	PSI-1655	followup-3month	11	18	29	0.5
sub-PC223	PSI-2009	followup-3month	19	27	46	0.5
sub-PC224	PSI-1958	followup-3month	19	30	49	0.5
sub-PC226	PSI-0180	followup-3month	19	25	44	0.5
sub-PC227	PSI-1336	followup-3month	13	14	27	0.5
sub-PC229	PSI-1748	followup-3month	23	36	59	0.5
sub-PC230	PSI-1637	followup-3month	18	24	42	0.5
sub-PC231	PSI-1677	followup-3month	19	10	29	0.5
sub-PC233	PSI-1957	followup-3month	18	22	40	0.5
